route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
49-2256,GLINE_2-S1-Sa-Saturday-03,57943399-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943400-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943401-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943402-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943403-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943404-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943405-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943406-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943407-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943408-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943409-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943410-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943411-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421888,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943412-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943413-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943414-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943415-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943416-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943417-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943418-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943419-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943420-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943421-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943422-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943423-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943424-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421889,S1-Sa03-49-s1-1
49-2256,GLINE_2-S1-Sa-Saturday-03,57943425-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421887,S1-Sa03-49-s1-1
60-2256,GLINE_2-S1-Sa-Saturday-03,57943426-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421908,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943427-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421909,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943428-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421910,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943429-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421913,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943430-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421911,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943431-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421915,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943432-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421910,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943433-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421908,S1-Sa03-60-n1-0
