stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_x_coord,stop_y_coord,zone_id,stop_url,location_type,parent_station
30510,,"15th Ave S / S Dakota St",,  47.567489,-122.313458,1275040.7,210516.1,,,0,
30790,,"15th Ave S / S Dakota St",,  47.566998,-122.313464,1275035.7,210337.1,,,0,
30800,,"15th Ave S / S Nevada St",,  47.565069,-122.313491,1275015.4,209633.6,,,0,
31560,,"SW Roxbury St / 8th Ave SW",,  47.517308,-122.345818,1266693.7,192370.5,,,0,
31580,,"SW Roxbury St / Pedestrian Walk",,  47.517335,-122.350496,1265538.0,192403.3,,,0,
31590,,"SW Roxbury St / 15th Ave SW",,  47.517372,-122.353568,1264779.4,192431.7,,,0,
31660,,"16th Ave S / East Marginal Way S",,  47.533483,-122.313245,1274854.7,198113.2,,,0,
31670,,"14th Ave S / Dallas Ave S",,  47.526917,-122.314886,1274403.3,195726.4,,,0,
31680,,"S Cloverdale St / 12th Ave S",,  47.526512,-122.318110,1273604.1,195594.1,,,0,
31700,,"S Cloverdale St / 8th Ave S",,  47.526469,-122.323265,1272330.3,195602.7,,,0,
31720,,"S Cloverdale St / 5th Ave S",,  47.526483,-122.328095,1271137.2,195631.0,,,0,
31736,,"SW Barton Pl / 22nd Ave SW",,  47.522294,-122.362095,1262708.3,194268.3,,,0,
32100,,"S Cloverdale St / 5th Ave S",,  47.526482,-122.327832,1271202.2,195629.5,,,0,
32120,,"S Cloverdale St / 8th Ave S",,  47.526465,-122.322306,1272567.1,195597.0,,,0,
32140,,"S Cloverdale St / 12th Ave S",,  47.526389,-122.317155,1273839.0,195544.5,,,0,
32150,,"14th Ave S / S Cloverdale St",,  47.526795,-122.314892,1274401.0,195682.0,,,0,
32160,,"16th Ave S / 16th Ave S",,  47.532625,-122.313262,1274844.5,197800.4,,,0,
3470,,"Beacon Ave S / Pedestrian Stair",,  47.579287,-122.312203,1275433.2,214812.9,,,0,
3484,,"Beacon Ave S / S Bayview St",,  47.580920,-122.313710,1275072.6,215415.5,,,0,
3500,,"14th Ave S / S Hill St",,  47.584509,-122.314683,1274857.9,216729.0,,,0,
3515,,"14th Ave S / S Holgate St",,  47.586605,-122.314666,1274876.7,217493.4,,,0,
3530,,"S Massachusetts St / 14th Ave S",,  47.588439,-122.315205,1274756.5,218164.6,,,0,
3541,,"12th Ave S / S Massachusetts St",,  47.588762,-122.317275,1274248.1,218292.3,,,0,
3550,,"12th Ave S / S Atlantic St",,  47.590250,-122.317278,1274257.8,218835.2,,,0,
3570,,"12th Ave S / S Judkins St",,  47.592720,-122.317279,1274275.0,219735.7,,,0,
3580,,"S Charles St / Dr Jose P Rizal Brg",,  47.594204,-122.316780,1274408.5,220274.6,,,0,
3589,,"12th Ave S / S Weller St",,  47.597379,-122.317227,1274320.6,221434.8,,,0,
35890,,"23rd Ave S / S Dearborn St",,  47.595326,-122.302219,1278008.5,220614.9,,,0,
35910,,"23rd Ave S / S Judkins St",,  47.591642,-122.302405,1277937.1,219272.4,,,0,
36750,,"23rd Ave S / S Massachusetts St",,  47.588609,-122.302582,1277872.1,218167.0,,,0,
36752,,"Martin L King Jr Way S / S Walker St",,  47.583851,-122.298141,1278934.8,216410.8,,,0,
36774,,"23rd Ave S / S Judkins St",,  47.591828,-122.302473,1277921.4,219340.6,,,0,
3700,,"12th Ave S / S Jackson St",,  47.598657,-122.317308,1274309.5,221901.1,,,0,
3710,,"12th Ave S / S Weller St",,  47.597304,-122.317228,1274319.8,221407.4,,,0,
3730,,"Golf Dr S / 15th Ave S",,  47.593019,-122.314907,1274862.4,219833.6,,,0,
3740,,"14th Ave S / S Judkins St",,  47.591189,-122.314839,1274866.1,219166.0,,,0,
3760,,"14th Ave S / S Massachusetts St",,  47.588192,-122.314858,1274840.4,218072.9,,,0,
3770,,"14th Ave S / S Holgate St",,  47.586139,-122.314669,1274872.8,217323.3,,,0,
3778,,"14th Ave S / S Hill St",,  47.584345,-122.314684,1274856.4,216669.2,,,0,
3800,,"Beacon Ave S / S Bayview St",,  47.581300,-122.314168,1274962.4,215556.2,,,0,
3810,,"Beacon Ave S / S Lander St",,  47.579294,-122.312209,1275431.7,214815.4,,,0,
39976,,"25th Ave SW / SW Trenton St",,  47.524000,-122.364607,1262100.2,194903.0,,,0,
39980,,"25th Ave SW / SW Henderson St",,  47.523020,-122.364613,1262091.7,194545.5,,,0,
39990,,"25th Ave SW / SW Barton Pl",,  47.521231,-122.364545,1262095.5,193892.8,,,0,
40871,,"Corson Ave S / S Willow St",,  47.541745,-122.323292,1272431.5,201174.2,,,0,
40873,,"Corson Ave S / S Warsaw St",,  47.545225,-122.322173,1272732.5,202437.9,,,0,
40876,,"S Bailey St / S Bailey St",,  47.547437,-122.319707,1273356.9,203232.8,,,0,
41740,,"13th Ave S / S Bailey St",,  47.547740,-122.316099,1274249.9,203326.3,,,0,
41750,,"S Albro Pl / Stanley Ave S",,  47.546912,-122.315077,1274496.5,203019.4,,,0,
41760,,"Swift Ave S / 16th Ave S",,  47.549686,-122.312615,1275123.9,204019.4,,,0,
41780,,"15th Ave S / S Lucile St",,  47.553705,-122.313469,1274941.2,205489.0,,,0,
41800,,"15th Ave S / S Dawson St",,  47.555839,-122.313453,1274960.2,206267.2,,,0,
41805,,"15th Ave S / S Shelton St",,  47.558171,-122.313435,1274980.9,207117.8,,,0,
41819,,"15th Ave S / S Angeline St",,  47.560808,-122.313415,1275004.3,208079.2,,,0,
41830,,"15th Ave S / S Oregon St",,  47.563369,-122.313512,1274998.5,209013.6,,,0,
41850,,"15th Ave S / S Spokane St",,  47.571824,-122.313404,1275084.3,212096.6,,,0,
41870,,"15th Ave S / S Hanford St",,  47.575285,-122.313376,1275115.5,213358.9,,,0,
41880,,"15th Ave S / S Stevens St",,  47.577158,-122.313273,1275154.1,214041.3,,,0,
41900,,"12th Ave S / S Jackson St",,  47.599441,-122.317212,1274338.8,222186.5,,,0,
41930,,"9th Ave / Alder St",,  47.604005,-122.323328,1272862.4,223880.3,,,0,
41940,,"9th Ave / Cherry St",,  47.605988,-122.325142,1272429.0,224612.1,,,0,
41950,,"9th Ave / Columbia St",,  47.607170,-122.326224,1272170.4,225048.6,,,0,
41965,,"Broadway / E Union St",,  47.612898,-122.320761,1273558.2,227111.2,,,0,
41970,,"Broadway / E Pine St",,  47.615168,-122.320796,1273565.7,227939.5,,,0,
41980,,"Broadway / E Pike St",,  47.614146,-122.320779,1273562.5,227566.5,,,0,
41982,,"Broadway / E Union St",,  47.612714,-122.320761,1273557.0,227044.3,,,0,
41990,,"9th Ave / Marion St",,  47.607446,-122.326569,1272087.3,225150.6,,,0,
42000,,"9th Ave / Cherry St",,  47.606128,-122.325270,1272398.4,224663.7,,,0,
42010,,"9th Ave / Alder St",,  47.603510,-122.322875,1272970.7,223697.6,,,0,
42048,,"15th Ave S / S Stevens St",,  47.576678,-122.313366,1275127.8,213866.9,,,0,
42050,,"15th Ave S / S Hanford St",,  47.574902,-122.313380,1275112.0,213219.3,,,0,
42070,,"15th Ave S / S Spokane St",,  47.571439,-122.313408,1275080.7,211956.3,,,0,
42080,,"15th Ave S / S Oregon St",,  47.563101,-122.313604,1274973.7,208916.3,,,0,
42091,,"15th Ave S / S Angeline St",,  47.560700,-122.313416,1275003.4,208039.8,,,0,
42105,,"15th Ave S / S Shelton St",,  47.557681,-122.313439,1274976.5,206938.9,,,0,
